id,desc,good_id,good_num,start_time,uid
1000925,Repay_Text_18,161004,150,1753238457,1096813455574
1000926,Repay_Text_18,161004,140,1753238457,713922062394
1000927,Repay_Text_18,161004,134,1753238457,584557275137
1000928,Repay_Text_18,161004,134,1753238457,1048530921661
1000929,Repay_Text_18,161004,126,1753238457,816289556582
1000930,Repay_Text_18,161004,126,1753238457,567551207417
1000931,Repay_Text_18,161004,120,1753238457,1151789639916
1000932,Repay_Text_18,161004,120,1753238457,651917797408
1000933,Repay_Text_18,161004,113,1753238457,1137716439270
1000934,Repay_Text_18,161004,110,1753238457,1070071556300
1000935,Repay_Text_18,161004,107,1753238457,1281495345172
1000936,Repay_Text_18,161004,105,1753238457,504075134937
1000937,Repay_Text_18,161004,105,1753238457,1100289747160
1000938,Repay_Text_18,161004,105,1753238457,1157661927662
1000939,Repay_Text_18,161004,105,1753238457,1065567332555
1000940,Repay_Text_18,161004,101,1753238457,294650193792
1000941,Repay_Text_18,161004,100,1753238457,1144764705001
1000942,Repay_Text_18,161004,100,1753238457,1066397542603
1000943,Repay_Text_18,161004,99,1753238457,1129690966243
1000944,Repay_Text_18,161004,98,1753238457,954395863201
1000945,Repay_Text_18,161004,90,1753238457,1160168614127
1000946,Repay_Text_18,161004,87,1753238457,929681713302
1000947,Repay_Text_18,161004,85,1753238457,1099845282008
1000948,Repay_Text_18,161004,81,1753238457,471429621706
1000949,Repay_Text_18,161004,74,1753238457,574809778172
1000950,Repay_Text_18,161004,69,1753238457,1134710302949
1000951,Repay_Text_18,161004,69,1753238457,869572552828
1000952,Repay_Text_18,161004,68,1753238457,1064998873290
1000953,Repay_Text_18,161004,66,1753238457,713629378618
1000954,Repay_Text_18,161004,64,1753238457,1064423270602
1000955,Repay_Text_18,161004,63,1753238457,953623324833
1000956,Repay_Text_18,161004,63,1753238457,608417294348
1000957,Repay_Text_18,161004,55,1753238457,1018945349816
1000958,Repay_Text_18,161004,54,1753238457,561321748470
1000959,Repay_Text_18,161004,50,1753238457,1137615907046
1000960,Repay_Text_18,161004,44,1753238457,1030389508285
1000961,Repay_Text_18,161004,42,1753238457,1147046865130
1000962,Repay_Text_18,161004,40,1753238457,1117748799711
1000963,Repay_Text_18,161004,25,1753238457,1088534096083
1000964,Repay_Text_18,161004,18,1753238457,1071120656588
1000965,Repay_Text_18,161004,11,1753238457,1160519100655
1000966,Repay_Text_18,220004,276,1753238457,1128948902115
1000967,Repay_Text_18,220004,214,1753238457,1100232665304
1000968,Repay_Text_18,220004,166,1753238457,1016201488568
1000969,Repay_Text_18,220004,158,1753238457,996861487280
1000970,Repay_Text_18,220004,143,1753238457,1099557185752
1000971,Repay_Text_18,220004,138,1753238457,1151830403308
1000972,Repay_Text_18,220004,132,1753238457,1096813455574
1000973,Repay_Text_18,220004,108,1753238457,1151789639916
1000974,Repay_Text_18,220004,96,1753238457,610658363405
1000975,Repay_Text_18,220004,94,1753238457,570305488890
1000976,Repay_Text_18,220004,91,1753238457,1030389508285
1000977,Repay_Text_18,220004,90,1753238457,1137716439270
1000978,Repay_Text_18,220004,78,1753238457,816289556582
1000979,Repay_Text_18,220004,78,1753238457,1099906361560
1000980,Repay_Text_18,220004,77,1753238457,1160168614127
1000981,Repay_Text_18,220004,72,1753238457,870930917500
1000982,Repay_Text_18,220004,49,1753238457,713922062394
1000983,Repay_Text_18,220004,46,1753238457,1147046865130
1000984,Repay_Text_18,220004,45,1753238457,1099845282008
1000985,Repay_Text_18,220004,23,1753238457,1117748799711
1000986,Repay_Text_18,220004,18,1753238457,1088534096083
1000987,Repay_Text_18,220004,16,1753238457,1160519100655
1000988,Repay_Text_18,220004,11,1753238457,1071120656588
1001001,Repay_Text_19,405230005,40,1772292842,842677495923
1001002,Repay_Text_19,405230005,1,1772292842,842676316275
1001003,Repay_Text_19,405230005,24,1772292842,1665469655155
1001004,Repay_Text_19,161005,50,1772292842,842677495923
1001005,Repay_Text_19,161005,35,1772292842,842676316275
1001006,Repay_Text_19,161005,50,1772292842,843016120435
1001007,Repay_Text_19,161005,50,1772292842,1792795290077
1001008,Repay_Text_19,161005,50,1772292842,1928965859799
1001009,Repay_Text_19,161005,50,1772292842,1656206862451
1001010,Repay_Text_19,161005,50,1772292842,1656180123763
1001011,Repay_Text_19,161005,5,1772292842,1656242317427
1001012,Repay_Text_19,200405,50,1772292842,842677495923
1001013,Repay_Text_19,200405,35,1772292842,842676316275
1001014,Repay_Text_19,200405,50,1772292842,843016120435
1001015,Repay_Text_19,200405,50,1772292842,1792795290077
1001016,Repay_Text_19,200405,50,1772292842,1928965859799
1001017,Repay_Text_19,200405,50,1772292842,1656206862451
1001018,Repay_Text_19,200405,50,1772292842,1656180123763
1001019,Repay_Text_19,200405,5,1772292842,1656242317427
1001020,Repay_Text_19,203038,50,1772292842,842677495923
1001021,Repay_Text_19,203038,35,1772292842,842676316275
1001022,Repay_Text_19,203038,50,1772292842,843016120435
1001023,Repay_Text_19,203038,50,1772292842,1792795290077
1001024,Repay_Text_19,203038,50,1772292842,1928965859799
1001025,Repay_Text_19,203038,50,1772292842,1656206862451
1001026,Repay_Text_19,203038,50,1772292842,1656180123763
1001027,Repay_Text_19,203038,5,1772292842,1656242317427
1001028,Repay_Text_19,206,10000,1772292842,842677495923
1001029,Repay_Text_19,206,7000,1772292842,842676316275
1001030,Repay_Text_19,206,10000,1772292842,843016120435
1001031,Repay_Text_19,206,10000,1772292842,1792795290077
1001032,Repay_Text_19,206,10000,1772292842,1928965859799
1001033,Repay_Text_19,206,10000,1772292842,1656206862451
1001034,Repay_Text_19,206,10000,1772292842,1656180123763
1001035,Repay_Text_19,206,1000,1772292842,1656242317427
1001101,Repay_Text_20,508053001,1,1772337601,1846565218800
1001102,Repay_Text_20,509093001,1,1772337601,1846565218800
1001103,Repay_Text_20,509093002,1,1772337601,1846565218800
1001104,Repay_Text_20,509093003,1,1772337601,1846565218800
1001105,Repay_Text_20,508053004,1,1772337601,1846565218800
1001106,Repay_Text_20,220005,29,1772337601,1846565218800
1001107,Repay_Text_20,220203,34,1772337601,1846565218800
1001108,Repay_Text_20,203035,3,1772337601,1846565218800
1001109,Repay_Text_20,401300001,2,1772337601,1846565218800
1001110,Repay_Text_20,405231005,3,1772337601,1846565218800
1001111,Repay_Text_20,508053001,1,1772337601,1879002655229
1001112,Repay_Text_20,509093001,2,1772337601,1879002655229
1001113,Repay_Text_20,509093002,3,1772337601,1879002655229
1001114,Repay_Text_20,509093003,3,1772337601,1879002655229
1001115,Repay_Text_20,508053004,1,1772337601,1879002655229
1001116,Repay_Text_20,220005,132,1772337601,1879002655229
1001117,Repay_Text_20,220203,119,1772337601,1879002655229
1001118,Repay_Text_20,203035,6,1772337601,1879002655229
1001119,Repay_Text_20,401300001,6,1772337601,1879002655229
1001120,Repay_Text_20,405231005,9,1772337601,1879002655229
1001121,Repay_Text_20,411115002,1,1772337601,1879002655229
1001122,Repay_Text_20,508053001,1,1772337601,1830541208043
1001123,Repay_Text_20,509093002,1,1772337601,1830541208043
1001124,Repay_Text_20,509093003,1,1772337601,1830541208043
1001125,Repay_Text_20,508053004,1,1772337601,1830541208043
1001126,Repay_Text_20,220005,44,1772337601,1830541208043
1001127,Repay_Text_20,203035,3,1772337601,1830541208043
